ImageID,Confidence
0002643773a76876,0
0016a0f096337445,0
0036043ce525479b,1
00526f123f84db2f,1
0080db2599d54447,1
00978577e9fdd967,1
00999e0a1c66fa9e,0
00ae6f48022f527e,1
00ccbda21e2cc314,1
00fe9ad027307049,0
014277a08124380f,0
017b8e86d7a13543,0
01a1201b26a7fdc3,1
01a22546102bd9e8,0
01b0b1eb40d21471,1
01b66b3974dbeae9,0
01f39a574ee5fe0b,1
020861abeb63ced7,0
0210ebe5c31c9e4a,0
021b127ef86e33bb,0
0238a7e4aeb6e22f,1
027e69f951f3e970,0
027f4a5d585c6f54,0
027f6b1b3c35c224,1
02837ef702581393,1
02a24c3e6c5978f2,0
02c9db8dbfa39515,0
02e9d387fe04ebd5,0
02ede7ccd20f04ad,1
0322f572caa700d6,1
03283ae91d87a97b,0
033a3f1bd43e3112,1
033e8f0c9c33f138,0
036ed5ce09c82389,0
03bac6cfe5a8dc39,1
03bc484df524e1dd,0
03dfc8b7e008218d,1
03e30b9bfb3fff4d,1
03e96e9c6306f122,1
0408b3cd3dbd9bc2,1
041610af4aba2faf,0
042e922e3eb7036d,1
04652580e6ca3182,1
047067c3af79c3ca,1
04915967aaf19826,0
04957b97d746fc3e,1
04c6b3e741cacab3,1
050ab2cd054846c9,1
051540940bf53eac,1
052fe61dc71b0eba,1
0538e05f269f934c,0
05856fdeff423cb0,1
0589bffe7dff2c8a,0
0593a46ed8ff0f99,0
059d11c42caa06e5,0
059fc3db254afaa9,1
05c5e3c2b0e14842,0
05f9dafe672ca3b1,0
062ce07c09a59d1c,1
0655152dba1f84cc,0
072c4fb6f5651a1b,0
073fe85b4abbaa83,0
074f6faf7c4f2424,0
07826e354f362710,0
079c907f111f0b68,0
07b0459fc902c4b3,1
07e670e9df51fae3,0
07ed8d27cb1aebc9,0
07f525146d75da12,1
08085c0be08cbe27,1
083afb44856c10b4,1
0858a52cc1a80652,0
085baf695c29d1f3,0
08946585b8ea5eeb,0
08b7a60c169c8a68,1
08cf26629ef459fa,1
08d52981eea69dc5,0
08ecb8adf2030622,0
08f9c841c2a39bf5,0
09370e426b4f2478,1
095eab7353db3e6d,1
096dda4366d118ba,1
09b6e6848368539e,1
0a0bdb0cebfa67ee,0
0a3340f3516f2479,1
0a4e63f6c188485e,1
0a684b8fc669b812,0
0a69b418ad5dbdb0,0
0a78171e2fe9b152,1
0a983561e47a4398,1
0a9d308e5fa151bb,0
0acbb703c2d13cb2,0
0ad93624486df1a7,0
0ad977c36c026730,1
0aeb361cac11225d,0
0af2834572e5edfb,0
0b19e9430e1684ae,0
0b2373e4fcd56ab0,0
0b35185242de8b20,0
0b363dcb204ee6fa,0
0b44fcd48ce7a66b,1
0b8bc31e82e8ac51,0
0bb27693b12008d6,1
0c5d8bfa724854ed,0
0c6908ccfc636745,1
0c8bc6311a5f6b28,1
0cbfea27c75b7854,1
0d61a766a5e052c1,1
0d648bbe5b8a9600,0
0d7e09d990723b07,0
0d8787e0f401938b,1
0dc3994cc6311deb,1
0dd3211c2ad294a3,1
0ded1bb5d7b9d152,1
0e26edc5bc0c8311,0
0e2ddf22657cb827,1
0e39471801ad2a43,1
0e56d521cd207050,1
0e60973b10e64411,1
0e69efd1f7b44905,0
0ecc00179ef54ca5,1
0ef89705e4158105,1
0f153d6353f417d4,1
0f3381b38fcd5cdc,1
0f5834a4f70f7b20,1
0f872e1abf7ac6da,0
0fcfc644a29aa10b,1
0fe4c64f8692ad84,0
1000a5246fa70d6d,1
10103bc8d81860d7,1
10188cd6c38e5ab8,1
101921f7b6569691,0
103a0ee96b890b7a,1
10407470ddbe7f33,0
1060886ac7527790,0
1092892be3a1d74a,1
10bc4f9d4f9cf0c8,0
10cc91f3caccdaf5,0
10ed93f362a259b0,1
1113516133edbabc,0
11435a877f12aed5,0
1169b3404fe2843b,0
1170571276b6bcad,1
1174fafefae0428b,0
1182bd717c802dcc,1
1186520afb0493a8,0
119b9d88404d8d48,1
11bb6b1fb5702099,0
11bf96bd0e9882db,0
11da6f070d4771ef,0
120022a6a24e90cd,1
12043f1344f75048,1
123847b6982c7e1e,1
1246d649fd5e931d,1
12498a6ca767492e,0
124cb0d63a578f9e,0
124e720a8b9a19db,1
1263ad7c3ee86f27,0
129686341e997b40,1
12d2ce2b79ab9573,0
131407e04be18ace,1
1320bbabc132dd2f,0
134b1c18e6af837f,1
134edfc0e31dd303,0
135dc87be1b86802,1
135f588d040ea7fc,0
1375d5331cf28f83,0
1391bcfe081f19ad,1
13c35bcd1a6dd96b,1
13c98b0387aa0869,1
13f865503304fe7f,0
1419b0ba4824bd3a,0
141de6f0bb105207,0
1473761fb505e238,0
14cba893e4652d12,1
14f955e1ccb4ce9c,1
150c090d425a726a,0
1559343cf042ee0a,0
160d65e19cd0cdee,0
1612223f74fb4336,1
16366d31cf297c34,1
165098cf74ff01fa,1
168aa9f930331bde,1
16bda96251f1b2eb,0
16fae7ccc1c8d87d,1
17237768756d0617,0
1729bf4a981ba70e,0
17878e5abe11fb8b,0
178c462adad58992,1
179540365378298e,0
17ddd6c38fe6a11f,0
17f6bd54f41ecd24,1
1829c7528398489f,1
183368f31e6fa221,0
184c8e263fe0137d,1
1856d5dd7a355dfb,1
187187dd5c763ad3,0
187e144c1e8f8e41,1
18bc27b7dcf34a71,0
18bd73f2e03b0435,1
18f26cea382ed7b8,1
18f3454604de81c5,1
18f4cac0fa308c26,1
19153d748d8d5a1c,0
196665cfc99666e8,0
19c860012d34b7d5,1
19e8a28edca6a66b,0
1a17b0157e89480b,1
1a26647e9bd3a9db,1
1a3c2aca3ac642f8,0
1a446826a6216c9f,0
1a5fafb0a5ebbe5a,1
1a8111e0b7aadc91,0
1aa8314c51ba10ed,0
1aab8e89f1004b4b,0
1b62252ca65a12ff,1
1b643fda9337f548,1
1b977827d49f7759,0
1bb4b842b7353905,0
1bc488ddb14b84ac,0
1bdc4fb329706237,0
1c13f85e453a54e4,1
1c24bbdbcadbe3f4,1
1ca2cec096be16d4,0
1cdab95f1e784df0,1
1d0e19f531cb4898,1
1d19070c56721c8b,1
1d2f81eb5d0d5211,1
1d42dfa41fbc0a34,1
1d5aebd5afbc6f2b,1
1d5d4c3437b466b2,0
1d8d014496cb4824,0
1da26a35f3e8abf4,1
1dd47f1748a2bcf0,0
1de37429bf3cb6e8,1
1dec3dded7a4dae4,1
1e244b7e9f0b8fd9,0
1e28a5c7598ce0f9,0
1e41948a34480596,0
1e436799490e7eeb,0
1e595e59b37e4a27,0
1e9a4a1d0fc4ca29,0
1e9b191d90c2266e,1
1f192b722b0ad354,1
1f1ceaeded18db96,0
1f208689b80cee08,1
1f462ce1ca995b8c,1
1f6a53c6b5721fea,0
1fafa775240417ec,0
1fb250a9ef9d5a0c,0
1fe24d5640ce14b1,0
200b7847da358a2d,0
200d3d72a4523c40,0
2011183f59037ef0,0
201547df732c4156,1
2048581ccb95d815,1
2066a81e97489b4c,1
20759e94df7e69d9,0
20b6978d63ce149c,0
20d90ec2e11fc5b4,0
20ec4206c96cbd3d,0
2195261d7bcc65c2,0
21fecdabcc50d165,0
22640048749f1c61,0
226c6ad77da16dce,0
227edbb5aeeae5e9,1
22c1fba27a65f29c,1
23071dc96012937c,0
2315fe86de57a0f8,1
233404499f9c93c2,1
23754137155e09b8,0
2387aace9f6caa87,1
23f193b64cb7b6fe,1
243efee4fa9871de,0
244dd102dd6515e1,1
245d7557726b022c,1
245ebc538d8f9229,1
24c96ef04bf38053,1
24d6cb92e781a022,1
25473b5dff92c79d,0
269317351e751f49,1
26941883c642ca70,0
26adf38aadb3aecb,1
26e9798a6cf03d7c,1
26fd27d06044746e,0
272b18a95bd6a03a,0
274bc1c79f1b98e9,0
281cd9a58dfcd265,1
28b7d8656314a9d5,0
28cbd682e022cf51,1
292db09aebe28d57,0
29a3465795676349,0
2a0193b50f7e409a,0
2a0bec44f6933b30,1
2a43c69ad62d823f,0
2a43e6c4d1122207,1
2a47907f0d80ad46,0
2a8422b853757ddd,1
2b030fd83d070666,1
2b13140e618e8146,1
2b304285abaaa6c5,0
2b49e3793542e110,1
2b62224b42e0bb1f,1
2b853fea1d218995,1
2ba2b02bf30d4f12,0
2bc36d77f0c12ea6,0
2bf49d8e608783db,1
2c0c5ce55d3b9632,1
2c1ff4a2ec540cdc,1
2c32a3dd8b886ccc,0
2c3c25c576b1de15,1
2c54593283207177,0
2c70b971603d4411,0
2c7b082ff81eaf95,0
2c7d448252768342,0
2c9da9d471aaebc9,0
2cb0911be5234a78,1
2cb3413bd5efa7b7,1
2cc4a0f1e4d2c9c9,1
2d1df68ce872bb9f,0
2d27bbfd78f9f925,1
2d5759f12fa9ae85,1
2d734b2824575942,0
2dbbb4254b5aed3a,0
2df2b67715389791,1
2e0068ac814f792d,0
2e0f9b2466164356,1
2e1db05316089325,1
2e807a42b7b37883,0
2efa2ff77d256312,0
2f11455e210fdedf,1
2f179ca1a5f7039b,0
2f1adc343f8598d5,0
2f33584c5ffe72d5,0
2f5c0482b9732b25,1
2f73b6bff89bf15a,0
2f8909ce4e9dae11,0
2f98d2a51394bee2,1
2f9f04706938f8af,1
2fd542f6ac430a94,0
2fec7a7a1436d1c2,0
2feec97810f64d63,0
2ffa3756e321ac79,1
3019fdd7751a0295,0
30852efeea1cf314,0
308a9e78d915d9e9,0
30b1c6c5eca7f9b8,1
30ba496d7af5d9a0,1
30f937df9fc3dd31,0
3109e63fb93c6e65,1
31103e5a4701c98c,1
3127bbd0befaf782,0
3134bc984a2e3d5c,1
313977213b0d3c67,1
3144d031e1d9924d,1
3170776ff4406e6c,0
317179c2bc38d651,1
317678b136554c09,1
3191765aeac56c0d,1
31cbcdd5de59681d,0
31d209e52e881592,0
31e24288dc274d86,0
31fddabdb730b698,1
32099764d1d36634,0
324b83570c210bd6,1
325060723d3e21f0,1
3274a8a2ca494416,1
328c9475df30f96c,0
32d021d6e16faffe,0
32f4f6c0f2da7a97,1
333e36d6df1426f4,1
335f9a9f2b05e506,1
3371da82a80bf4cf,0
337fdbb659255d17,0
33e2f04f26101766,0
33fb3b378f677fc0,1
34833559bf9ac10b,1
34bcf62c7a6d20d5,1
34c0fffcfd317ad0,1
34e9a871c25e5254,1
34ec2c8d87192de0,1
35055b02a0cbaf87,1
3520d48978e4b1a7,1
35318d0d30b6bc7f,0
359ad26db2bdfad1,1
359bb1dd6df593b2,1
35b3d53c2e85deb0,0
35ed6e0029a50970,1
361f25fe375924eb,1
364b25a08774360a,0
364d10980606eb0c,1
36717da18ce3beab,0
367edbcf140248f0,0
36a5d8b4ddebccd2,0
36b91e58ae716df1,1
37106bd1e4921449,1
371d84b0b24527ce,1
3741db2dfe9ba01c,0
37af8f2f0515a0de,0
37b428bbf7cdac16,1
37d3f43cd3283a65,1
37f2aec9140b6146,0
38298c9c9c07b331,0
384e15769e0ece9d,1
3877b5b64d41f204,1
38833fd2cdcef112,0
38abb45d15a3a84e,0
38de74053a55c22a,1
38de92959fa7efcc,0
391d57896fe7fbad,1
394d6fc65e3d4f8e,1
395140593803e508,1
